site,census,code,genus,species,n10m,s10m,t10m,r10m,f10m,l10m,u10m,n100m,s100m,t100m,r100m,f100m,l100m,u100m
BCI,1982-1985,bc1,Faramea,occidentalis,22163,21431,3.251,1.033,1.035,0.968,1.11,1226,1138,3.355,2.22,2.203,1.784,2.747
BCI,1982-1985,bc1,Ficus,bullenei,0,0,NA,NA,NA,NA,NA,1,1,3.91,0,2.419,0.458,9.91
BCI,1982-1985,bc1,Ficus,colubrinae,0,0,NA,NA,NA,NA,NA,1,1,2.593,0,2.346,0.606,10.367
BCI,1982-1985,bc1,Ficus,costaricana,8,3,3.376,29.052,18.288,5.987,45.523,8,7,3.484,3.833,2.823,0.742,9.225
BCI,1982-1985,bc1,Ficus,insipida,6,5,3.891,4.686,3.573,0.621,13.664,3,3,3.239,0,2.127,0.471,8.423
BCI,1982-1985,bc1,Ficus,maxima,6,6,2.941,0,1.804,0.261,9.35,4,4,3.333,0,2.102,0.485,7.065
BCI,1982-1985,bc1,Ficus,obtusifolia,2,1,3.483,19.903,6.093,0.881,26.277,9,7,3.894,6.455,3.863,1.135,11.081
BCI,1982-1985,bc1,Ficus,popenoei,2,2,2.669,0,2.554,0.358,14.094,7,6,2.881,5.351,3.225,0.759,10.174
BCI,1982-1985,bc1,Ficus,tonduzii,24,23,3.567,1.193,1.56,0.381,5.051,42,37,3.29,3.852,3.395,1.423,6.871
BCI,1982-1985,bc1,Ficus,trigonata,2,1,3.358,20.642,6.232,0.903,30.939,5,4,3.748,5.954,3.257,0.867,12.054
BCI,1982-1985,bc1,Ficus,yoponensis,0,0,NA,NA,NA,NA,NA,6,6,3.148,0,2.035,0.448,7.355
BCI,1982-1985,bc1,Garcinia,intermedia,3563,3473,3.472,0.737,0.743,0.59,0.91,76,64,3.462,4.965,4.459,2.409,7.483
BCI,1982-1985,bc1,Garcinia,madruno,630,616,3.289,0.683,0.726,0.427,1.158,23,21,3.061,2.972,2.71,0.853,6.916
BCI,1982-1985,bc1,Genipa,americana,70,65,3.457,2.144,2.164,0.9,4.627,20,20,3.559,0,1.382,0.387,4.146
BCI,1982-1985,bc1,Geonoma,interrupta,19,13,3.815,9.948,8.161,3.251,17.19,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Guapira,standleyana,140,119,3.288,4.943,4.76,3.019,7.148,91,88,3.387,0.99,1.282,0.479,2.813
BCI,1982-1985,bc1,Guarea,grandifolia,43,42,2.976,0.791,1.292,0.312,3.87,10,10,3.372,0,1.765,0.467,6.301
BCI,1982-1985,bc1,Guarea,guidonia,1407,1322,3.546,1.757,1.766,1.42,2.137,368,345,3.645,1.771,1.807,1.183,2.552
BCI,1982-1985,bc1,Guatteria,dumetorum,1292,1170,3.227,3.074,3.074,2.562,3.639,286,255,3.334,3.442,3.342,2.314,4.65
BCI,1982-1985,bc1,Guazuma,ulmifolia,26,22,3.556,4.698,4.045,1.36,9.674,25,25,3.429,0,1.236,0.337,3.661
BCI,1982-1985,bc1,Guettarda,foliacea,304,292,3.352,1.202,1.246,0.705,2.047,77,75,3.411,0.772,1.158,0.455,2.65
BCI,1982-1985,bc1,Gustavia,superba,243,212,3.458,3.947,3.878,2.674,5.492,636,621,3.581,0.667,0.737,0.459,1.125
BCI,1982-1985,bc1,Hamelia,axillaris,112,74,3.351,12.367,11.909,8.374,16.385,1,1,4.115,0,2.596,0.462,11.191
BCI,1982-1985,bc1,Hampea,appendiculata,35,13,3.279,30.207,26.925,16.679,41.981,41,29,3.193,10.843,8.817,4.629,15.614
BCI,1982-1985,bc1,Hasseltia,floribunda,877,747,3.245,4.944,4.902,4.113,5.805,260,235,3.275,3.087,3.037,2.009,4.307
BCI,1982-1985,bc1,Heisteria,acuminata,104,96,3.395,2.358,2.358,1.122,4.231,5,5,3.398,0,2.09,0.472,7.96
BCI,1982-1985,bc1,Heisteria,concinna,637,627,3.435,0.461,0.516,0.286,0.907,244,238,3.445,0.723,0.897,0.459,1.586
BCI,1982-1985,bc1,Herrania,purpurea,518,488,3.279,1.819,1.848,1.258,2.593,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Hieronyma,alchorneoides,57,50,3.294,3.978,3.663,1.711,7.042,44,41,3.41,2.071,2.05,0.81,4.702
BCI,1982-1985,bc1,Hirtella,americana,43,41,3.877,1.229,1.468,0.45,3.688,8,7,3.821,3.495,2.765,0.71,8.58
BCI,1982-1985,bc1,Hirtella,triandra,3618,3479,3.407,1.15,1.159,0.98,1.364,513,484,3.526,1.65,1.675,1.187,2.357
BCI,1982-1985,bc1,Hura,crepitans,27,24,3.787,3.11,2.948,0.907,7.182,100,96,3.78,1.08,1.29,0.597,2.586
BCI,1982-1985,bc1,Hybanthus,prunifolius,39742,36111,3.286,2.915,2.916,2.817,3.005,3,2,3.337,12.149,3.713,0.85,14.876
BCI,1982-1985,bc1,Inga,acuminata,198,193,3.466,0.738,0.862,0.407,1.744,11,10,3.464,2.751,2.502,0.696,7.91
BCI,1982-1985,bc1,Inga,goldmanii,431,401,3.346,2.156,2.148,1.49,3.014,62,46,3.401,8.776,7.633,4.32,11.971
BCI,1982-1985,bc1,Inga,laurina,63,62,3.104,0.516,0.969,0.262,2.775,8,7,3.893,3.43,2.688,0.753,8.86
BCI,1982-1985,bc1,Inga,marginata,816,622,3.521,7.709,7.657,6.589,8.833,80,51,3.358,13.407,12.001,8.097,16.98
BCI,1982-1985,bc1,Inga,mucuna,1,1,2.601,0,2.675,0.35,18.061,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Inga,nobilis,743,702,3.497,1.623,1.634,1.199,2.136,35,30,3.648,4.225,3.623,1.464,7.1
BCI,1982-1985,bc1,Inga,oerstediana,7,5,3.364,10.002,5.967,1.337,19.43,4,3,3.167,9.084,3.588,0.819,12.877
BCI,1982-1985,bc1,Inga,pezizifera,179,154,4.114,3.657,3.569,2.396,5.151,24,15,4.221,11.135,8.489,4.127,16.089
BCI,1982-1985,bc1,Inga,punctata,10,10,3.419,0,1.432,0.263,6.428,8,6,3.67,7.839,4.26,1.208,13.049
BCI,1982-1985,bc1,Inga,ruiziana,28,22,3.381,7.133,6.167,2.489,12.606,10,7,3.329,10.715,5.676,1.73,14.775
BCI,1982-1985,bc1,Inga,sapindoides,325,301,3.248,2.362,2.362,1.513,3.35,67,58,3.34,4.319,3.866,1.984,6.771
BCI,1982-1985,bc1,Inga,spectabilis,10,9,3.102,3.397,3.064,0.56,11.073,12,11,3.154,2.759,2.535,0.684,7.496
BCI,1982-1985,bc1,Inga,umbellifera,930,882,3.264,1.624,1.633,1.201,2.13,21,15,3.353,10.034,7.05,2.947,14.651
BCI,1982-1985,bc1,Jacaranda,copaia,119,93,3.037,8.118,7.734,5.045,11.113,224,217,3.117,1.018,1.143,0.551,2.101
BCI,1982-1985,bc1,Koanophyllon,wetmorei,15,11,2.568,12.076,8.752,2.809,21.58,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Lacistema,aggregatum,1509,1369,3.13,3.111,3.103,2.621,3.654,43,35,3.271,6.294,5.22,2.5,9.613
BCI,1982-1985,bc1,Lacmellea,panamensis,56,56,3.183,0,0.654,0.133,2.161,36,34,3.265,1.751,2.005,0.65,4.909
BCI,1982-1985,bc1,Laetia,procera,15,11,2.792,11.111,8.063,2.678,19.593,9,9,2.79,0,1.824,0.448,6.306
BCI,1982-1985,bc1,Laetia,thamnia,494,455,3.162,2.601,2.627,1.911,3.455,15,12,3.147,7.09,4.534,1.565,11.6
BCI,1982-1985,bc1,Lafoensia,punicifolia,5,5,2.792,0,2.111,0.322,9.859,4,3,2.887,9.965,3.739,0.933,13.781
BCI,1982-1985,bc1,Licania,hypoleuca,101,98,3.273,0.921,1.075,0.412,2.422,19,16,3.191,5.386,3.861,1.347,9.482
BCI,1982-1985,bc1,Licania,platypus,244,233,3.83,1.205,1.261,0.688,2.11,9,8,3.738,3.151,2.736,0.785,8.574
BCI,1982-1985,bc1,Lindackeria,laurina,24,17,3.307,10.428,8.646,3.58,16.836,83,79,3.367,1.467,1.621,0.688,3.48
BCI,1982-1985,bc1,Lonchocarpus,heptaphyllus,695,649,3.114,2.199,2.193,1.652,2.9,148,131,3.167,3.852,3.642,2.175,5.587
BCI,1982-1985,bc1,Lozania,pittieri,15,11,2.837,10.932,8.095,2.518,19.066,3,2,2.508,16.168,4.096,0.883,15.475
BCI,1982-1985,bc1,Luehea,seemannii,102,75,3.077,9.993,9.457,6.361,13.659,85,84,3.372,0.351,0.874,0.293,2.132
BCI,1982-1985,bc1,Lycianthes,maxonii,1,1,4.192,0,2.707,0.287,16.077,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Maclura,tinctoria,2,2,2.817,0,2.636,0.294,15.662,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Macrocnemum,roseum,77,77,3.841,0,0.495,0.109,1.521,24,22,3.844,2.263,2.247,0.753,5.775
BCI,1982-1985,bc1,Malpighia,romeroana,53,50,3.168,1.839,1.908,0.663,4.519,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Maquira,guianensis,1189,1127,3.379,1.585,1.587,1.26,1.967,223,188,3.291,5.188,4.958,3.522,6.806
BCI,1982-1985,bc1,Margaritaria,nobilis,2,2,3.444,0,2.543,0.333,15.507,1,1,4.35,0,2.469,0.557,11.141
BCI,1982-1985,bc1,Marila,laxiflora,12,11,4.057,2.145,2.328,0.469,7.535,10,10,3.88,0,1.639,0.419,5.38
BCI,1982-1985,bc1,Maytenus,schippii,65,65,3.573,0,0.576,0.124,1.698,20,17,3.434,4.733,3.598,1.287,9.238
BCI,1982-1985,bc1,Miconia,affinis,365,333,2.892,3.172,3.113,2.188,4.28,3,1,2.853,38.509,6.873,1.562,24.715
BCI,1982-1985,bc1,Miconia,argentea,482,357,3.198,9.388,9.291,7.755,11.03,46,42,3.318,2.741,2.589,1.015,5.53
BCI,1982-1985,bc1,Miconia,elata,32,27,2.771,6.13,5.244,2.043,11.062,2,2,2.923,0,2.455,0.545,9.329
BCI,1982-1985,bc1,Miconia,hondurensis,22,18,2.836,7.075,5.671,1.762,13.902,7,4,3.006,18.616,7.191,2.036,21.24
BCI,1982-1985,bc1,Miconia,impetiolaris,10,9,3.431,3.071,2.836,0.608,9.874,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Miconia,nervosa,358,212,2.814,18.617,18.383,15.538,21.393,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Mosannona,garwoodii,261,256,3.237,0.598,0.698,0.326,1.363,14,13,3.213,2.306,2.383,0.664,7.007
BCI,1982-1985,bc1,Mouriri,myrtilloides,6904,6307,3.151,2.87,2.862,2.647,3.099,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Myrcia,gatunensis,37,35,3.122,1.78,1.892,0.572,5.216,3,3,3.191,0,2.261,0.53,8.511
BCI,1982-1985,bc1,Myrospermum,frutescens,17,14,3.929,4.942,4.065,1.237,10.838,9,9,3.62,0,1.641,0.438,5.789
BCI,1982-1985,bc1,Nectandra,cissiflora,327,287,2.778,4.696,4.598,3.353,6.249,24,22,2.967,2.933,2.619,0.814,7.516
BCI,1982-1985,bc1,Nectandra,lineata,103,84,3.618,5.635,5.403,3.277,8.376,11,7,3.187,14.182,7.163,2.361,18.428
BCI,1982-1985,bc1,Nectandra,purpurea,79,72,3.147,2.948,2.886,1.335,5.464,4,2,2.6,26.657,6.384,1.558,22.22
BCI,1982-1985,bc1,Neea,amplifolia,62,51,3.158,6.185,5.767,2.941,9.478,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Ochroma,pyramidale,2,1,2.656,26.1,6.505,1.091,35.867,2,2,2.652,0,2.48,0.485,10.747
BCI,1982-1985,bc1,Ocotea,cernua,328,295,3.275,3.238,3.185,2.242,4.4,24,24,3.123,0,1.326,0.367,3.92
BCI,1982-1985,bc1,Ocotea,oblonga,185,136,3.272,9.403,9.185,6.831,12.103,33,28,3.626,4.531,3.743,1.586,7.997
BCI,1982-1985,bc1,Ocotea,puberula,258,208,3.023,7.127,6.992,5.241,9.138,11,11,3.336,0,1.705,0.438,5.797
BCI,1982-1985,bc1,Ocotea,whitei,951,724,3.8,7.177,7.138,6.295,8.082,164,150,3.542,2.519,2.489,1.449,3.952
BCI,1982-1985,bc1,Oenocarpus,mapora,1023,953,3.182,2.228,2.236,1.726,2.809,746,732,3.279,0.578,0.664,0.389,0.987
BCI,1982-1985,bc1,Ormosia,amazonica,0,0,NA,NA,NA,NA,NA,1,1,3.513,0,2.593,0.566,11.53
BCI,1982-1985,bc1,Ormosia,coccinea,48,47,3.631,0.58,1.028,0.261,2.834,3,2,4.01,10.111,3.586,0.845,15.166
BCI,1982-1985,bc1,Ormosia,macrocalyx,65,65,3.138,0,0.613,0.141,1.873,4,4,3.312,0,2.156,0.514,7.742
BCI,1982-1985,bc1,Ouratea,lucens,1115,1087,3.39,0.75,0.785,0.517,1.062,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Pachira,quinata,0,0,NA,NA,NA,NA,NA,2,1,3.372,20.558,4.175,0.945,17.85
BCI,1982-1985,bc1,Pachira,sessilis,16,14,3.533,3.78,3.347,0.87,9.728,8,8,3.519,0,1.904,0.418,6.207
BCI,1982-1985,bc1,Palicourea,guianensis,374,262,3.026,11.76,11.553,9.513,14.069,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Pavonia,dasypetala,1,1,2.623,0,2.825,0.353,20.367,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Pentagonia,macrophylla,565,501,3.394,3.543,3.52,2.726,4.447,2,2,4.171,0,2.337,0.578,9.162
BCI,1982-1985,bc1,Perebea,xanthochyma,251,230,2.677,3.264,3.222,2.056,4.689,14,14,2.783,0,1.614,0.417,5.146
BCI,1982-1985,bc1,Picramnia,latifolia,1130,1033,3.575,2.51,2.497,2.033,3.051,38,34,3.756,2.961,2.68,1.062,5.799
BCI,1982-1985,bc1,Piper,aequale,220,146,3.273,12.529,12.291,9.54,15.342,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Piper,arboreum,107,83,3.184,7.978,7.668,4.957,10.994,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Piper,colonense,120,64,3.012,20.87,19.986,15.234,25.967,0,0,NA,NA,NA,NA,NA
BCI,1982-1985,bc1,Piper,cordulatum,3139,2739,3.036,4.49,4.486,4.05,4.935,1,0,2.713,Inf,4.679,0.961,20.017
BCI,1982-1985,bc1,Piper,imperialis,9,3,3.265,33.651,22.133,7.911,52.111,0,0,NA,NA,NA,NA,NA
